procedure_id,mouse_id,procedure_type,procedure_date,series_id,session_no,operator,anesthesia,anesthesia_route,analgesia,analgesia_route,construct/dye,injection_route,site1_hemi,site1_region,site1_ap,site1_ml,site1_dv,outcome,notebook_scan,notes,days_since
pr-ts264-02,ts264,cranial_window,2026-01-20,,,ts,,,,,,,,,,,,,,チャンバーづけ,158
pr-ts265-01,ts265,other,2026-01-22,,,ts,,,,,,,,,,,,,,jagular vein test,156
pr-ts265-02,ts265,cranial_window,2026-01-22,,,ts,,,,,,,,,,,,,,チャンバーづけ,156
pr-ts266-01,ts266,other,2026-01-22,,,ts,,,,,,,,,,,,,,jagular vein test,156
pr-ts266-02,ts266,cranial_window,2026-01-22,,,ts,,,,,,,,,,,,,,チャンバーづけ,156
pr-ts267-01,ts267,PoRTs_window,2026-01-23,,,ts,,,,,,,,,,,,,,PoRTs window,155
pr-ts268-01,ts268,perfusion_fix,2026-01-26,,,ts,,,,,,,,,,,,,,Fix test,152
pr-ts269-01,ts269,ICM_injection,2026-01-26,,,ts,,,,,,,,,,,,,,Ventricle cathter test,152
pr-ts269-02,ts269,cranial_window,2026-01-26,,,ts,,,,,,,,,,,,,,チャンバーづけ,152
pr-ts270-01,ts270,viral_injection,2026-01-28,,,ts,,,,,AAV-AST CMVenhancer-hGfaABC1D-GFP-Wpre,,,,,,,,,AAV-AST test,150
pr-ts271-01,ts271,viral_injection,2026-01-28,,,ts,,,,,AAV-AST2: CMVenhancer-hGfaABC1D-GFP-Wpre,,,,,,,,,AAV-AST test,150
pr-ts272-01,ts272,viral_injection,2026-01-28,,,ts,,,,,AAV-AST2: mGfaABC1D-mCherry-Wpre,,,,,,,,,AAV-AST test,150
pr-ts273-01,ts273,PoRTs_window,2026-01-29,,,ts,,,,,,,,,,,,,,PoRTs window,149
pr-ts274-01,ts274,cranial_window,2026-01-30,,,ts,,,,,,,,,,,,,,chamber,148
pr-ts275-01,ts275,other,2026-02-10,,,ts,,,,,,,,,,,,,,jagular vein test,137
pr-ts275-02,ts275,cranial_window,2026-02-10,,,ts,,,,,,,,,,,,,,チャンバーづけ,137
